PATH,NAME,TYPE
/Dipl.Betrwirt,Dipl.Betriebswirtschafter*in,Berufsfeld
/Dipl.Betrwirt/UundS,Umwelt und Sicherheit,Gebiet
/Dipl.Betrwirt/Quali,Qualität,Gebiet
/Dipl.Betrwirt/Mgmt_komp_Prob,Management komplexer Problemsituationen,Gebiet
/Dipl.Betrwirt/OL,Organisationslehre,Gebiet
/Dipl.Betrwirt/Steuern,Steuern,Gebiet
/Dipl.Betrwirt/Stat,Statistik,Gebiet
/Dipl.Betrwirt/RWAdv,Rechnungswesen Advanced,Gebiet
/Dipl.Betrwirt/PM,Projektmanagement,Gebiet
/Dipl.Betrwirt/BPla,Business Planning,Gebiet
/SozVerFa,Sozialversicherungsfachleute,Berufsfeld
/SozVerFa/SozSich,Soziale Sicherheit,Gebiet
/SozVerFa/FamZu,Familienzulage,Gebiet
/SozVerFa/AlHiVers,Alter- und Hinterlassenenversicherung,Gebiet
/SozVerFa/ArbeitslosenVers,Arbeitslosenversicherung,Gebiet
/SozVerFa/BeVorsorge,Berufliche Vorsorge,Gebiet
/SozVerFa/ErgLeis,Ergänzungsleistung,Gebiet
/SozVerFa/EO,Erwerbsersatzordnung,Gebiet
/SozVerFa/SozHil,Sozialhilfe,Gebiet
/SozVerFa/UVers,Unfallversicherung,Gebiet
/SozVerFa/IV,Invalidenversicherung,Gebiet
/SozVerFa/KV,Krankenversicherung,Gebiet
/SozVerFa/MV,Militärversicherung,Gebiet
/SozVerFa/Recht,Recht,Gebiet
/SachBe Immo,Sachbearbeiter*in Immobilien-Bewirtschaftung,Berufsfeld
/SachBe Immo/K-O,Kick-Off,Gebiet
/SachBe Immo/Reserve,Reserve,Gebiet
/SachBe Immo/Admin,Administration,Gebiet
/SachBe Immo/Bau,Bau,Gebiet
/SachBe Immo/Rechtl,Rechtliches,Gebiet
/SachBe Immo/Immo-mgmt,Immobilien-Management,Gebiet
/SachBe Immo/Lieg-Buch,Liegenschaften-Buchhaltung,Gebiet
/Tech SysTech,Techniker*in Systemtechnik,Berufsfeld
/Tech SysTech/AutoTech Lab,Automatisierungstechnik Lab,Gebiet
/Tech SysTech/RegTech,Regelungstechnik,Gebiet
/Tech SysTech/AutoCAD,AutoCAD,Gebiet
/Tech SysTech/Sys_NetzTech,System- und Netzwerktechnik,Gebiet
/Tech SysTech/ProgTech,Programmierungstechnik,Gebiet
/Tech SysTech/Prog,Programmierung,Gebiet
/Tech SysTech/CSP,Case Study Präsentation,Gebiet
/Tech SysTech/Admin SysTech,Administration Systemtechnik,Gebiet
/HausW,Hauswart*in,Berufsfeld
/HausW/GebRein,Gebäudereinigung,Gebiet
/HausW/U+E Sparen,Umweltschutz + Energiesparen,Gebiet
/HausW/ElTech,Elektrotechnik/ Heizung_Lüftung_Klima,Gebiet
/HausW/GebUnt,Gebäudeunterhalt,Gebiet
/HausW/AdminMod,Administrationsmodul,Gebiet
/HausW/Sanitär,Sanitär,Gebiet
/HausW/GrüA,Grünanlagen,Gebiet
/HausW/Batt,Batterien,Gebiet
/HausW/Vernetzung,Vernetzung,Gebiet
/HausW/PflaSchu,Pflanzenschutz,Gebiet
