PATH,NAME,TYPE
/ArztSpitalSek,Arzt- und Spitalsekretär*in,Lehrgang
/ArztSpitalSek/Anatomie,Anatomie,Fach
/ArztSpitalSek/AundLTech,Arbeits- und Lerntechnik,Fach
/ArztSpitalSek/Buchhaltung,Buchhaltung,Fach
/ArztSpitalSek/Buchhaltung/A und P Konten,Aktiv- und Passivkonten,Unterthema
/ArztSpitalSek/Buchhaltung/A und E Kosten,Aufwand- und Ertragskosten,Unterthema
/ArztSpitalSek/Buchhaltung/BelKon,Belege und Kontierung,Bilanz,Unterthema
/ArztSpitalSek/Buchhaltung/ErfRech,Erfolgsrechnung,Unterthema
/ArztSpitalSek/Buchhaltung/JahresAb,Jahresabschluss,Unterthema
/ArztSpitalSek/Buchhaltung/Varia,Varia,Unterthema
/ArztSpitalSek/Deutsch,Deutsch,Fach
/ArztSpitalSek/Deutsch/Allg.Rechtschreibung,Allgemeine Rechtschreibung,Unterthema
/ArztSpitalSek/Deutsch/G. und K. Schreibung,Gross- und Kleinschreibung,Unterthema
/ArztSpitalSek/Deutsch/Satzlehre,Satzlehre,Unterthema
/ArztSpitalSek/Deutsch/Wortarten,Wortarten,Unterthema
/ArztSpitalSek/Deutsch/Zeichensetzung,Zeichensetzung,Unterthema
/ArztSpitalSek/Info,Informatik,Fach
/ArztSpitalSek/Info/BuS,Befehle und Symbole,Unterthema
/ArztSpitalSek/Info/DatSi,Datensicherheit,Unterthema
/ArztSpitalSek/Info/DokV,Dokumentenverwaltung,Unterthema
/ArztSpitalSek/Info/Hardware,Hardware,Unterthema
/ArztSpitalSek/Info/InternetD,Internetdienste,Unterthema
/ArztSpitalSek/Info/Laufwerke,Laufwerke,Unterthema
/ArztSpitalSek/Info/SerBriefe,Serienbriefe,Unterthema
/ArztSpitalSek/Info/Software,Software,Unterthema
/ArztSpitalSek/Info/TextGes,Textgestaltung,Unterthema
/ArztSpitalSek/Komm,Kommunikation,Fach
/ArztSpitalSek/Path,Pathologie,Fach
/ArztSpitalSek/Rechtskunde,Rechtskunde,Fach
/ArztSpitalSek/Rechtskunde/ArbeitsZeitFerien,Arbeitszeit/ Ferien,Unterthema
